date,close
2023-04-24,331.307
2023-04-25,337.378
2023-04-26,331.106
2023-04-27,334.21
2023-04-28,324.25
2023-04-29,322.19
2023-04-30,337.992
2023-05-01,328.489
2023-05-02,322.196
2023-05-03,325.985
2023-05-04,323.616
2023-05-05,326.897
2023-05-06,323.362
2023-05-07,323.378
2023-05-08,312.637
2023-05-09,312.012
2023-05-10,313.882
2023-05-11,307.207
2023-05-12,307.846
2023-05-13,311.055
2023-05-14,311.357
2023-05-15,313.93
2023-05-16,311.466
2023-05-17,313.447
2023-05-18,310.584
2023-05-19,308.342
2023-05-20,310.489
2023-05-21,306.904
2023-05-22,309.945
2023-05-23,313.369
2023-05-24,305.502
2023-05-25,304.789
2023-05-26,307.441
2023-05-27,306.213
2023-05-28,311.572
2023-05-29,311.293
2023-05-30,312.522
2023-05-31,305.549
2023-06-01,305.586
